Bemail,name,city,district,phoneNumber,picture,lat,blong,ServiceName,price
laure@gmail.com,laura,Tel-Aviv,Central District,521379944,../static/p1.png,32.109333,34.855499,Piling,550
robberta@gmail.com,robberta,Beer-sheva,southern district,522379944,../static/p2.png,31.252973,34.791462,Piling,80
paula@gmail.com,paula,ashdod,southern district,523379944,../static/p3.png,31.801447,34.643497,Nails,100
dana@gmail.com,dana,Beer-sheva,southern district,524379944,../static/p4.png,31.252973,34.791462,Nails,250
samanta@gmail.com,samanta,Herzliya,Central District,525379944,../static/p5.png,32.166313,34.843311,Piling,1000
ariana@gmail.com,ariana,Tel-Aviv,Central District,525679944,../static/p6.png,32.109333,34.855499,Nails,120
sharona@gmail.com,sharona,haifa,nothern district,527379944,../static/p7.png,32.794044,34.989571,Hair-Removel,60
roni@gmail.com,roni,Herzliya,Central District,525389944,../static/p1.png,32.166313,34.843311,Faciel,400
tal@gmail.com,tal,rehovot,Central District,529379944,../static/p2.png,31.894756,34.809322,Piling,400
anat@gmail.com,anat,Beer-sheva,southern district,525310944,../static/p3.png,31.252973,34.791462,Hair-Removel,140
danit@gmail.com,danit,Beer-sheva,southern district,521179944,../static/p4.png,31.252973,34.791462,Piling,85
sharon@gmail.com,sharon,Beer-sheva,southern district,525379124,../static/p2.png,31.252973,34.791462,Faciel,320
stav@gmail.com,stav,Beer-sheva,southern district,521379944,../static/p6.png,31.252973,34.791462,Hair-Removel,350
yael@gmail.com,yael,shoham,Central District,525314944,../static/p7.png,31.9957581,34.9488403,Nails,150
yuval@gmail.com,yuval,shoham,Central District,525379945,../static/p1.png,31.9957581,34.9488403,Hair-Removel,40
ofir@gmail.com,ofir,Tel-Aviv,Central District,525379164,../static/p2.png,32.109333,34.855499,Faciel,450
hadar@gmail.com,hadar,Tel-Aviv,Central District,525379944,../static/p3.png,32.109333,34.855499,Piling,800
yarden@gmail.com,yarden,Tel-Aviv,Central District,521769944,../static/p4.png,32.109333,34.855499,Nails,100
rachel@gmail.com,rachel,Tel-Aviv,Central District,525318944,../static/p5.png,32.109333,34.855499,Hair-Removel,120
may@gmail.com,may,shoham,Central District,525379919,../static/p6.png,31.9957581,34.9488403,Faciel,180
dafna@gmail.com,dafna,Herzliya,Central District,525379944,../static/p7.png,32.166313,34.843311,Piling,650
sveta@gmail.com,sveta,Herzliya,Central District,525379944,../static/p1.png,32.166313,34.843311,Nails,70
ruth@gmail.com,ruth,Herzliya,Central District,525379944,../static/p2.png,32.166313,34.843311,Hair-Removel,130
fabel@gmail.com,fabel,Herzliya,Central District,525379944,../static/p3.png,32.166313,34.843311,Faciel,500
noa@gmail.com,noa,shoham,Central District,525379944,../static/p4.png,32.0166666,34.7666636,Piling,500
koren@gmail.com,koren,Herzliya,Central District,525379944,../static/p5.png,32.0166666,34.7666636,Nails,120
avia@gmail.com,avia,ashdod,southern district,525379944,../static/p5.png,31.801447,34.643497,Hair-Removel,90
inbar@gmail.com,inbar,Beer-sheva,southern district,525379944,../static/p7.png,31.801447,34.643497,Faciel,450
oria@gmail.com,oria,ashdod,southern district,525379944,../static/p1.png,31.801447,34.643497,Piling,120
shir@gmail.com,shir,ashdod,southern district,525379944,../static/p2.png,31.801447,34.643497,Nails,130
naama@gmail.com,naama,ashdod,southern district,525379944,../static/p2.png,31.801447,34.643497,Hair-Removel,95
